Fecha;Hora;P;Q
2017-04-01;18:05;0;17,17962676
2017-04-01;18:10;0;17,27022983
2017-04-01;18:15;0;17,25204079
2017-04-01;18:20;0;17,23282987
2017-04-01;18:25;0;17,14827738
2017-04-01;18:30;0;17,24775747
2017-04-01;18:35;0;17,10534891
2017-04-01;18:40;0;17,20555187
2017-04-01;18:45;0;17,12851236
2017-04-01;18:50;0;17,19342904
2017-04-01;18:55;0;17,14798131
2017-04-01;19:00;0;17,05097379
2017-04-01;19:05;0;17,0300049
2017-04-01;19:10;0;17,01118279
2017-04-01;19:15;0;17,17150506
2017-04-01;19:20;0;17,0148933
2017-04-01;19:25;0;17,01497449
2017-04-01;19:30;0;17,10657055
2017-04-01;19:35;0;17,13811985
2017-04-01;19:40;0;17,09465146
2017-04-01;19:45;0;17,12460317
2017-04-01;19:50;0;16,90766936
2017-04-01;19:55;0;16,8775515
2017-04-01;20:00;0;16,90241488
2017-04-01;20:05;0;17,00255477
2017-04-01;20:10;0;16,9963394
2017-04-01;20:15;0;17,01941628
2017-04-01;20:20;0;16,90972765
2017-04-01;20:25;0;16,96291107
2017-04-01;20:30;0;16,78740145
2017-04-01;20:35;0;16,93375813
2017-04-01;20:40;0;16,97085768
2017-04-01;20:45;0;16,9917839
2017-04-01;20:50;0;17,01508571
2017-04-01;20:55;0;17,00484828
2017-04-01;21:00;0;16,97848213
2017-04-01;21:05;0;16,75240868
2017-04-01;21:10;0;16,88391798
2017-04-01;21:15;0;16,86925648
2017-04-01;21:20;0;16,77567876
2017-04-01;21:25;0;16,93854743
2017-04-01;21:30;0;16,92731467
2017-04-01;21:35;0;16,86980701
2017-04-01;21:40;0;16,91349112
2017-04-01;21:45;0;16,87897612
2017-04-01;21:50;0;16,86870596
2017-04-01;21:55;0;16,88273558
2017-04-01;22:00;0;16,88673802
2017-04-01;22:05;0;17,02571781
2017-04-01;22:10;0;16,96707175
2017-04-01;22:15;0;16,87058496
2017-04-01;22:20;0;16,8257051
2017-04-01;22:25;0;16,82711223
2017-04-01;22:30;0;16,89064522
2017-04-01;22:35;0;16,91339525
2017-04-01;22:40;0;16,85497627
2017-04-01;22:45;0;16,86656983
2017-04-01;22:50;0;16,78252689
2017-04-01;22:55;0;16,67801565
2017-04-01;23:00;0;16,88686978
2017-04-01;23:05;0;16,79065068
2017-04-01;23:10;0;16,60927128
2017-04-01;23:15;0;16,81894828
2017-04-01;23:20;0;16,84892415
2017-04-01;23:25;0;16,72373026
2017-04-01;23:30;0;16,94077598
2017-04-01;23:35;0;16,70354541
2017-04-01;23:40;0;16,82363789
2017-04-01;23:45;0;16,7480734
2017-04-01;23:50;0;16,79118481
2017-04-01;23:55;0;16,79360782
2017-04-02;0:00;0;16,79548191
2017-04-02;0:05;0;16,80212281
2017-04-02;0:10;0;16,74978363
2017-04-02;0:15;0;16,69745974
2017-04-02;0:20;0;16,74033401
2017-04-02;0:25;0;16,82698681
2017-04-02;0:30;0;16,85258402
2017-04-02;0:35;0;16,72363502
2017-04-02;0:40;0;16,72215259
2017-04-02;0:45;0;16,87718345
2017-04-02;0:50;0;16,81258124
2017-04-02;0:55;0;16,7272938
2017-04-02;1:00;0;16,80718288
2017-04-02;1:05;0;16,83284312
2017-04-02;1:10;0;16,7668557
2017-04-02;1:15;0;16,70390242
2017-04-02;1:20;0;16,86965152
2017-04-02;1:25;0;16,74725413
2017-04-02;1:30;0;16,50611771
2017-04-02;1:35;0;16,85365458
2017-04-02;1:40;0;16,61977499
2017-04-02;1:45;0;16,78065969
2017-04-02;1:50;0;16,72064051
2017-04-02;1:55;0;16,79715026
2017-04-02;2:00;0;16,55559221
2017-04-02;2:05;0;16,74356304
2017-04-02;2:10;0;16,70464617
2017-04-02;2:15;0;16,63692962
2017-04-02;2:20;0;16,78626491
2017-04-02;2:25;0;16,78117874
2017-04-02;2:30;0;16,54409478
2017-04-02;2:35;0;16,62563943
2017-04-02;2:40;0;16,61997079
2017-04-02;2:45;0;16,59961931
2017-04-02;2:50;0;16,55958463
2017-04-02;2:55;0;16,76710323
2017-04-02;3:00;0;16,52309425
2017-04-02;3:05;0;16,65922356
2017-04-02;3:10;0;16,55199103
