Fecha;Hora;T;P_mm;Q_ls
2/02/2017;12:55;2/02/2017 12:55;0,277668554;6,771735791
2/02/2017;13:00;2/02/2017 13:00;0,277668554;6,770735791
2/02/2017;13:05;2/02/2017 13:05;0;6,769735791
2/02/2017;13:10;2/02/2017 13:10;0;6,768735791
2/02/2017;13:15;2/02/2017 13:15;0;6,767735791
2/02/2017;13:20;2/02/2017 13:20;0;6,766735791
2/02/2017;13:25;2/02/2017 13:25;0;6,765735791
2/02/2017;13:30;2/02/2017 13:30;0;6,764735791
2/02/2017;13:35;2/02/2017 13:35;0;6,763735791
2/02/2017;13:40;2/02/2017 13:40;0;6,762735791
2/02/2017;13:45;2/02/2017 13:45;0;6,761735791
2/02/2017;13:50;2/02/2017 13:50;0;6,760735791
2/02/2017;13:55;2/02/2017 13:55;0;6,759735791
2/02/2017;14:00;2/02/2017 14:00;0;6,758735791
2/02/2017;14:05;2/02/2017 14:05;0;6,757735791
2/02/2017;14:10;2/02/2017 14:10;0;6,756735791
2/02/2017;14:15;2/02/2017 14:15;0;6,755735791
2/02/2017;14:20;2/02/2017 14:20;0;6,754735791
2/02/2017;14:25;2/02/2017 14:25;0;6,753735791
